chain,block,txn,pending,sender,level,profit,reason,related_ids,feedback,ts
1,13905778,0xd6a816cc291b24267c03c23c730a84a2699f32a7cf714c8cbe3e47321c76b08f,FALSE,0xa8189407a37001260975b9da61a81c3bd9f55908,5,55.90054421 ETH,"{""IsTornadoFunded"":true,""IsProfit"":false,""IsCreation"":true,""IsAction"":true,""IsAdam"":true,""Reason"":[{""Source"":""Adam"",""Feature"":""FunctionSignature"",""Ids"":[2],""Extra"":{""Address"":""0xa8189407a37001260975b9da61a81c3bd9f55908"",""Profit"":""55.90054421"",""Sig"":""0xd0a494e4""}},{""Source"":""Action"",""Feature"":""Add Remove Liquidity in Same Txn"",""Ids"":[86,179],""Extra"":{""Pool"":""0xe777196834baa8738ecdc261a7d7ee3c28ee27ef""}}]}","{2,86,179}",TRUE,07:40.1
1,13979402,0xf0abc726f02e4eacfece810d34083729d38977a700f01dc7fe9bb3abd8d9caf3,FALSE,0x2879302118bced2d132ba42f5ab158fe3cd422b8,3,1035.186886 ETH,"{""IsTornadoFunded"":false,""IsProfit"":true,""IsCreation"":false,""IsAction"":false,""IsAdam"":true,""Reason"":[{""Source"":""Adam"",""Feature"":""FunctionSignature"",""Ids"":[26],""Extra"":{""Address"":""0xb84bd1221667164a4b3a4b798ec79b5874d1ff71"",""Profit"":""52.32328576"",""Sig"":""0x10d1e85c""}}]}",{26},TRUE,35:36.5
1,13999956,0xb7436c70eacf82375ee604cb5b52a5c18e307921c3314ec2c45f65d594402808,FALSE,0x63661a309e86d2d19d160723712e417a26b97e86,3,131.7646814 ETH,"{""IsTornadoFunded"":false,""IsProfit"":false,""IsCreation"":false,""IsAction"":false,""IsAdam"":true,""Reason"":[{""Source"":""Adam"",""Feature"":""FunctionSignature"",""Ids"":[20],""Extra"":{""Address"":""0x92e8ce0070b22f3b2e0d5a850152baf0f377bc5e"",""Profit"":""131.7646814"",""Sig"":""0x490e6cbc""}}]}",{20},TRUE,50:06.2
1,14011246,0x7cd96ab1544a3139984bacc2af04010e31a9ff2e469a97639fa3da0139dced08,FALSE,0x0b634a8d61b09820e9f72f79cdcbc8a4d0aad26b,4,4934.828888 ETH,"{""IsTornadoFunded"":false,""IsProfit"":true,""IsCreation"":false,""IsAction"":true,""IsAdam"":true,""Reason"":[{""Source"":""Adam"",""Feature"":""FunctionSignature"",""Ids"":[246],""Extra"":{""Address"":""0x342491c093a640c7c2347c4ffa7d8b9cbc84d1eb"",""Profit"":""4934.828888"",""Sig"":""0x5cffe9de""}},{""Source"":""Action"",""Feature"":""Stake Unstake in Same Txn"",""Ids"":[260,332],""Extra"":{""Depositor"":""0x342491c093a640c7c2347c4ffa7d8b9cbc84d1eb"",""Pool"":""0x5d3a536e4d6dbd6114cc1ead35777bab948e3643""}}]}","{246,260,332}",TRUE,31:21.1
1,14020782,0x12de7fccdb0ddb271d4a001874b7b0461f070e37c5964e4349cf77c773f21c6d,FALSE,0x0b634a8d61b09820e9f72f79cdcbc8a4d0aad26b,5,9236.587 ETH,"{""IsTornadoFunded"":false,""IsProfit"":true,""IsCreation"":true,""IsAction"":true,""IsAdam"":true,""Reason"":[{""Source"":""Adam"",""Feature"":""FunctionSignature"",""Ids"":[203],""Extra"":{""Address"":""0x7900c70a377f89df29d1d1939469ae3b74c5b740"",""Profit"":""9236.587"",""Sig"":""0x5cffe9de""}},{""Source"":""Action"",""Feature"":""Stake Unstake in Same Txn"",""Ids"":[216,288],""Extra"":{""Depositor"":""0x7900c70a377f89df29d1d1939469ae3b74c5b740"",""Pool"":""0x5d3a536e4d6dbd6114cc1ead35777bab948e3643""}}]}","{203,216,288}",TRUE,06:36.7
1,14027677,0x25bcb8bdd5d1db3d1c69cab9246526ab055790ab10fc7448765da5974761f379,FALSE,0xda39e48523770197ef3cbb70c1bf1cccf9b4b1e7,3,106.0061384 ETH,"{""IsTornadoFunded"":false,""IsProfit"":false,""IsCreation"":false,""IsAction"":false,""IsAdam"":true,""Reason"":[{""Source"":""Adam"",""Feature"":""FunctionSignature"",""Ids"":[9],""Extra"":{""Address"":""0xda3be292530e22f8a52e4a4743e08d0f3ee582d5"",""Profit"":""106.0061384"",""Sig"":""0x490e6cbc""}}]}",{9},TRUE,31:21.8
1,14030845,0x7d3237d29856a0c4fdfee85a6cbf715b0326623d7d004dcb25fef9f0b0de0b34,FALSE,0x5f5cd726d6210e80924c08d5cd114999f187c099,3,18969.55165 ETH,"{""IsTornadoFunded"":false,""IsProfit"":true,""IsCreation"":false,""IsAction"":false,""IsAdam"":true,""Reason"":[{""Source"":""Adam"",""Feature"":""Multicall"",""Ids"":[3],""Extra"":{""Address"":""0xc19e6c7b5e98ad23fa6a81c5021b0b79686a8fb8"",""Profit"":""18969.55165"",""Sig"":""0xb7ed4785""}}]}",{3},TRUE,43:10.4
1,14046406,0x5ded198c1a2b14545cab93dd34c50994268af8e06966c7febcd04650c5387613,FALSE,0x0b634a8d61b09820e9f72f79cdcbc8a4d0aad26b,3,10297.39014 ETH,"{""IsTornadoFunded"":false,""IsProfit"":true,""IsCreation"":true,""IsAction"":true,""IsAdam"":false,""Reason"":[{""Source"":""Action"",""Feature"":""Borrow Repay Assets in Same Txn"",""Ids"":[330,109],""Extra"":{""Pool"":""0x39aa39c021dfbae8fac545936693ac917d5e7563"",""Token"":""0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48""}}]}","{330,109}",TRUE,41:07.5
1,14046805,0x807ab4da3bcc8fc7bc9d7f9749d354617df205feb22916cca3782299a3917826,FALSE,0x0b634a8d61b09820e9f72f79cdcbc8a4d0aad26b,5,13089.68286 ETH,"{""IsTornadoFunded"":false,""IsProfit"":true,""IsCreation"":true,""IsAction"":true,""IsAdam"":true,""Reason"":[{""Source"":""Adam"",""Feature"":""FunctionSignature"",""Ids"":[115],""Extra"":{""Address"":""0x7900c70a377f89df29d1d1939469ae3b74c5b740"",""Profit"":""13089.68286"",""Sig"":""0x5cffe9de""}},{""Source"":""Action"",""Feature"":""Stake Unstake in Same Txn"",""Ids"":[128,200],""Extra"":{""Depositor"":""0x7900c70a377f89df29d1d1939469ae3b74c5b740"",""Pool"":""0x5d3a536e4d6dbd6114cc1ead35777bab948e3643""}}]}","{115,128,200}",TRUE,42:32.9
1,14050355,0x04fcf989054e3660845f215cde125045900ad39bd847a22290fa51234646e4e6,FALSE,0x0b634a8d61b09820e9f72f79cdcbc8a4d0aad26b,5,9637.794032 ETH,"{""IsTornadoFunded"":false,""IsProfit"":true,""IsCreation"":true,""IsAction"":true,""IsAdam"":true,""Reason"":[{""Source"":""Adam"",""Feature"":""FunctionSignature"",""Ids"":[537],""Extra"":{""Address"":""0x1676055fe954ee6fc388f9096210e5ebe0a9070c"",""Profit"":""9637.794032"",""Sig"":""0x5cffe9de""}},{""Source"":""Action"",""Feature"":""Borrow Repay Assets in Same Txn"",""Ids"":[363,109],""Extra"":{""Pool"":""0x39aa39c021dfbae8fac545936693ac917d5e7563"",""Token"":""0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48""}}]}","{537,363,109}",TRUE,55:34.1
1,14065521,0x8a8d061f52cf214271a7ac6fe03d83f300fbad1cb478c540ee6fdcf87a7d0be6,FALSE,0xb0ab7e4fa9a3129cbd9bae2aa0f44593faca9a95,5,128.8574578 ETH,"{""IsTornadoFunded"":false,""IsProfit"":false,""IsCreation"":true,""IsAction"":true,""IsAdam"":true,""Reason"":[{""Source"":""Adam"",""Feature"":""FunctionSignature"",""Ids"":[4],""Extra"":{""Address"":""0x30d3ad97b8788ba0226b371f851755c834fb1652"",""Profit"":""128.8574578"",""Sig"":""0x10d1e85c""}},{""Source"":""Action"",""Feature"":""Reverse Swap in Same Txn"",""Ids"":[200,200],""Extra"":{""Pool"":""0x486792bcdb13f8aacf85288d98850fa2804f95c7"",""Token0"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"",""Token1"":""0x054f76beed60ab6dbeb23502178c52d6c5debe40""}}]}","{4,200,200}",TRUE,52:15.1
1,14545892,0x09a4afb726277cbddf091da5c4b2fad8045e743436b475372b7eb0501f89e29b,FALSE,0x73f7092510e44915cb177684db7b1f101aeecb8d,3,2611.956467 ETH,"{""IsTornadoFunded"":false,""IsProfit"":true,""IsCreation"":false,""IsAction"":false,""IsAdam"":true,""Reason"":[{""Source"":""Adam"",""Feature"":""FunctionSignature"",""Ids"":[40],""Extra"":{""Address"":""0xef6e90098e54aa0cbb26c5cc68e040a59fad8758"",""Profit"":""2611.956467"",""Sig"":""0x5c38449e""}}]}",{40},TRUE,48:47.9
1,14071149,0xd79728e3801f3c44253e371f897c1fff55ee307c32fc230c0ba0f2e0517c7aad,FALSE,0x0b634a8d61b09820e9f72f79cdcbc8a4d0aad26b,3,1748.463758 ETH,"{""IsTornadoFunded"":false,""IsProfit"":true,""IsCreation"":true,""IsAction"":true,""IsAdam"":false,""Reason"":[{""Source"":""Action"",""Feature"":""Stake Unstake in Same Txn"",""Ids"":[49,114],""Extra"":{""Depositor"":""0x8c818613a97900cc1eda5893f04701b62e7c1138"",""Pool"":""0x5d3a536e4d6dbd6114cc1ead35777bab948e3643""}}]}","{49,114}",TRUE,12:43.7
1,14081904,0x0742939b23eaa700f0b267a33db84b5ecde69a3ae099a0cfebff404e510937ae,FALSE,0xfde1014729c312fa152d8449c8cabe645eec7361,3,598.0576357 ETH,"{""IsTornadoFunded"":false,""IsProfit"":true,""IsCreation"":false,""IsAction"":false,""IsAdam"":true,""Reason"":[{""Source"":""Adam"",""Feature"":""FunctionSignature"",""Ids"":[21],""Extra"":{""Address"":""0x06bd3fabdfaf96be1fa41aa10daddecfcb8c8d49"",""Profit"":""598.0576357"",""Sig"":""0x5cffe9de""}}]}",{21},TRUE,52:22.6
1,14089537,0xdb04806d657bfde246b69e9d4a486502b5a997518145e409e1108dcf37ca847c,FALSE,0x0b634a8d61b09820e9f72f79cdcbc8a4d0aad26b,3,4100.832959 ETH,"{""IsTornadoFunded"":false,""IsProfit"":true,""IsCreation"":true,""IsAction"":true,""IsAdam"":false,""Reason"":[{""Source"":""Action"",""Feature"":""Stake Unstake in Same Txn"",""Ids"":[189,111],""Extra"":{""Depositor"":""0x2dded6da1bf5dbdf597c45fcfaa3194e53ecfeaf"",""Pool"":""0x48759f220ed983db51fa7a8c0d2aab8f3ce4166a""}}]}","{189,111}",TRUE,21:10.3
1,14091849,0x9e83b2ab91b3ac8b92aa40c402697ebc33ca84da9b7a924f544a783aacd138da,FALSE,0x0b634a8d61b09820e9f72f79cdcbc8a4d0aad26b,3,15339.3617 ETH,"{""IsTornadoFunded"":false,""IsProfit"":true,""IsCreation"":true,""IsAction"":true,""IsAdam"":false,""Reason"":[{""Source"":""Action"",""Feature"":""Stake Unstake in Same Txn"",""Ids"":[61,139],""Extra"":{""Depositor"":""0x7900c70a377f89df29d1d1939469ae3b74c5b740"",""Pool"":""0x5d3a536e4d6dbd6114cc1ead35777bab948e3643""}}]}","{61,139}",TRUE,29:39.8
1,14095602,0xbd00b2df6e4db90813b3ab145659775066fc943e04fe2a0ac715612c978aa98a,FALSE,0x0b634a8d61b09820e9f72f79cdcbc8a4d0aad26b,3,6381.229506 ETH,"{""IsTornadoFunded"":false,""IsProfit"":true,""IsCreation"":true,""IsAction"":true,""IsAdam"":false,""Reason"":[{""Source"":""Action"",""Feature"":""Stake Unstake in Same Txn"",""Ids"":[252,194],""Extra"":{""Depositor"":""0xa79828df1850e8a3a3064576f380d90aecdd3359"",""Pool"":""0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7""}}]}","{252,194}",TRUE,43:29.5
1,14096685,0x91896086cc81a4d284b1259afdc413aea4927fedae4f472c906829f645a2dc81,FALSE,0x12c012ac4b947a072a1f6abb478d094094931215,3,2575.349103 ETH,"{""IsTornadoFunded"":false,""IsProfit"":true,""IsCreation"":false,""IsAction"":false,""IsAdam"":true,""Reason"":[{""Source"":""Adam"",""Feature"":""FunctionSignature"",""Ids"":[20],""Extra"":{""Address"":""0x8de3a76225b70f303f3fcb69fb5f0c64206026f5"",""Profit"":""2575.349103"",""Sig"":""0x490e6cbc""}}]}",{20},TRUE,47:28.1
1,14121486,0xf63fafbe6942755817661eb8aac5f864729df76a68598fade0e716e2dc8fce72,FALSE,0x0b634a8d61b09820e9f72f79cdcbc8a4d0aad26b,5,40493.96226 ETH,"{""IsTornadoFunded"":false,""IsProfit"":true,""IsCreation"":true,""IsAction"":true,""IsAdam"":true,""Reason"":[{""Source"":""Adam"",""Feature"":""FunctionSignature"",""Ids"":[477],""Extra"":{""Address"":""0x1676055fe954ee6fc388f9096210e5ebe0a9070c"",""Profit"":""40493.96226"",""Sig"":""0x5cffe9de""}},{""Source"":""Action"",""Feature"":""Stake Unstake in Same Txn"",""Ids"":[64,142],""Extra"":{""Depositor"":""0x7900c70a377f89df29d1d1939469ae3b74c5b740"",""Pool"":""0x5d3a536e4d6dbd6114cc1ead35777bab948e3643""}}]}","{477,64,142}",TRUE,19:02.5
1,14133446,0x3883af1e2c9e8ac093449674f93fa5b683171e534ca5acaccef30aa4dd4ebf08,FALSE,0x0b634a8d61b09820e9f72f79cdcbc8a4d0aad26b,3,13414.05465 ETH,"{""IsTornadoFunded"":false,""IsProfit"":true,""IsCreation"":true,""IsAction"":true,""IsAdam"":false,""Reason"":[{""Source"":""Action"",""Feature"":""Stake Unstake in Same Txn"",""Ids"":[161,342],""Extra"":{""Depositor"":""0x429f5d3549096ec25d6f5e9bba193bdde9131584"",""Pool"":""0x028171bca77440897b824ca71d1c56cac55b68a3""}}]}","{161,342}",TRUE,03:45.1
1,14138480,0xcdd96ed39b16c20d8dce844f41a542775fd17a952aa78c9736880c6369233352,FALSE,0x1cdc968d8b37d2f79ac82a41f3c7279b6c02d946,3,821.7390492 ETH,"{""IsTornadoFunded"":true,""IsProfit"":true,""IsCreation"":false,""IsAction"":true,""IsAdam"":false,""Reason"":[{""Source"":""Action"",""Feature"":""Reverse Swap in Same Txn"",""Ids"":[0,0],""Extra"":{""Pool"":""0x2057cfb9fd11837d61b294d514c5bd03e5e7189a"",""Token0"":""0x2260fac5e5542a773aa44fbcfedf7c193bc2c599"",""Token1"":""0x6b175474e89094c44da98b954eedeac495271d0f""}}]}","{0,0}",TRUE,23:10.4
